point_sn,signal_code,signal_description,signal_type,measure_type,measure_location,station_sn,pipeline_sn
point_sn_1122,,,,17,measure_location_1122,station_sn_4,pipeline_sn_1
point_sn_636,,,,7,measure_location_636,station_sn_2,pipeline_sn_1
point_sn_1297,,,,5,measure_location_1297,station_sn_4,pipeline_sn_1
point_sn_1278,,,,3,measure_location_1278,station_sn_4,pipeline_sn_1
point_sn_1021,,,,1,measure_location_1021,station_sn_3,pipeline_sn_1
point_sn_120,,,,1,measure_location_120,station_sn_1,pipeline_sn_1
point_sn_619,,,,7,measure_location_619,station_sn_2,pipeline_sn_1
point_sn_1028,,,,8,measure_location_1028,station_sn_3,pipeline_sn_1
point_sn_1337,,,,11,measure_location_1337,station_sn_4,pipeline_sn_1
point_sn_1343,,,,17,measure_location_1343,station_sn_4,pipeline_sn_1
point_sn_32,,,,15,measure_location_32,station_sn_1,pipeline_sn_1
point_sn_1042,,,,5,measure_location_1042,station_sn_4,pipeline_sn_1
point_sn_59,,,,8,measure_location_59,station_sn_1,pipeline_sn_1
point_sn_57,,,,6,measure_location_57,station_sn_1,pipeline_sn_1
point_sn_1151,,,,12,measure_location_1151,station_sn_4,pipeline_sn_1
point_sn_1203,,,,13,measure_location_1203,station_sn_4,pipeline_sn_1
point_sn_1201,,,,11,measure_location_1201,station_sn_4,pipeline_sn_1
point_sn_393,,,,2,measure_location_393,station_sn_2,pipeline_sn_1
point_sn_1224,,,,17,measure_location_1224,station_sn_4,pipeline_sn_1
point_sn_312,,,,6,measure_location_312,station_sn_1,pipeline_sn_1
point_sn_447,,,,5,measure_location_447,station_sn_2,pipeline_sn_1
point_sn_1416,,,,5,measure_location_1416,station_sn_5,pipeline_sn_1
point_sn_158,,,,5,measure_location_158,station_sn_1,pipeline_sn_1
point_sn_1111,,,,6,measure_location_1111,station_sn_4,pipeline_sn_1
point_sn_856,,,,6,measure_location_856,station_sn_3,pipeline_sn_1
point_sn_364,,,,7,measure_location_364,station_sn_2,pipeline_sn_1
point_sn_622,,,,10,measure_location_622,station_sn_2,pipeline_sn_1
point_sn_587,,,,9,measure_location_587,station_sn_2,pipeline_sn_1
point_sn_644,,,,15,measure_location_644,station_sn_2,pipeline_sn_1
point_sn_252,,,,14,measure_location_252,station_sn_1,pipeline_sn_1
point_sn_1371,,,,11,measure_location_1371,station_sn_4,pipeline_sn_1
point_sn_1160,,,,4,measure_location_1160,station_sn_4,pipeline_sn_1
point_sn_574,,,,13,measure_location_574,station_sn_2,pipeline_sn_1
point_sn_1446,,,,1,measure_location_1446,station_sn_5,pipeline_sn_1
point_sn_1158,,,,2,measure_location_1158,station_sn_4,pipeline_sn_1
point_sn_1282,,,,7,measure_location_1282,station_sn_4,pipeline_sn_1
point_sn_835,,,,2,measure_location_835,station_sn_3,pipeline_sn_1
point_sn_1500,,,,4,measure_location_1500,station_sn_5,pipeline_sn_1
point_sn_1299,,,,7,measure_location_1299,station_sn_4,pipeline_sn_1
point_sn_1211,,,,4,measure_location_1211,station_sn_4,pipeline_sn_1
point_sn_1004,,,,1,measure_location_1004,station_sn_3,pipeline_sn_1
point_sn_302,,,,13,measure_location_302,station_sn_1,pipeline_sn_1
point_sn_35,,,,1,measure_location_35,station_sn_1,pipeline_sn_1
point_sn_691,,,,11,measure_location_691,station_sn_3,pipeline_sn_1
point_sn_1452,,,,7,measure_location_1452,station_sn_5,pipeline_sn_1
point_sn_919,,,,1,measure_location_919,station_sn_3,pipeline_sn_1
point_sn_307,,,,1,measure_location_307,station_sn_1,pipeline_sn_1
point_sn_150,,,,14,measure_location_150,station_sn_1,pipeline_sn_1
point_sn_741,,,,10,measure_location_741,station_sn_3,pipeline_sn_1
point_sn_204,,,,17,measure_location_204,station_sn_1,pipeline_sn_1
point_sn_1190,,,,17,measure_location_1190,station_sn_4,pipeline_sn_1
point_sn_989,,,,3,measure_location_989,station_sn_3,pipeline_sn_1
point_sn_481,,,,5,measure_location_481,station_sn_2,pipeline_sn_1
point_sn_214,,,,10,measure_location_214,station_sn_1,pipeline_sn_1
point_sn_1095,,,,7,measure_location_1095,station_sn_4,pipeline_sn_1
point_sn_733,,,,2,measure_location_733,station_sn_3,pipeline_sn_1
point_sn_383,,,,9,measure_location_383,station_sn_2,pipeline_sn_1
point_sn_519,,,,9,measure_location_519,station_sn_2,pipeline_sn_1
point_sn_127,,,,8,measure_location_127,station_sn_1,pipeline_sn_1
point_sn_1182,,,,9,measure_location_1182,station_sn_4,pipeline_sn_1
point_sn_1334,,,,8,measure_location_1334,station_sn_4,pipeline_sn_1
point_sn_229,,,,8,measure_location_229,station_sn_1,pipeline_sn_1
point_sn_180,,,,10,measure_location_180,station_sn_1,pipeline_sn_1
point_sn_350,,,,10,measure_location_350,station_sn_2,pipeline_sn_1
point_sn_99,,,,14,measure_location_99,station_sn_1,pipeline_sn_1
point_sn_1107,,,,2,measure_location_1107,station_sn_4,pipeline_sn_1
point_sn_866,,,,16,measure_location_866,station_sn_3,pipeline_sn_1
point_sn_561,,,,17,measure_location_561,station_sn_2,pipeline_sn_1
point_sn_785,,,,3,measure_location_785,station_sn_3,pipeline_sn_1
point_sn_1391,,,,14,measure_location_1391,station_sn_5,pipeline_sn_1
point_sn_1383,,,,6,measure_location_1383,station_sn_5,pipeline_sn_1
point_sn_1433,,,,5,measure_location_1433,station_sn_5,pipeline_sn_1
point_sn_79,,,,11,measure_location_79,station_sn_1,pipeline_sn_1
point_sn_21,,,,4,measure_location_21,station_sn_1,pipeline_sn_1
point_sn_1430,,,,2,measure_location_1430,station_sn_5,pipeline_sn_1
point_sn_509,,,,16,measure_location_509,station_sn_2,pipeline_sn_1
point_sn_353,,,,13,measure_location_353,station_sn_2,pipeline_sn_1
point_sn_1305,,,,13,measure_location_1305,station_sn_4,pipeline_sn_1
point_sn_1212,,,,5,measure_location_1212,station_sn_4,pipeline_sn_1
point_sn_471,,,,12,measure_location_471,station_sn_2,pipeline_sn_1
point_sn_932,,,,14,measure_location_932,station_sn_3,pipeline_sn_1
point_sn_1007,,,,4,measure_location_1007,station_sn_3,pipeline_sn_1
point_sn_1287,,,,12,measure_location_1287,station_sn_4,pipeline_sn_1
point_sn_371,,,,14,measure_location_371,station_sn_2,pipeline_sn_1
point_sn_814,,,,15,measure_location_814,station_sn_3,pipeline_sn_1
point_sn_1395,,,,1,measure_location_1395,station_sn_5,pipeline_sn_1
point_sn_271,,,,16,measure_location_271,station_sn_1,pipeline_sn_1
point_sn_487,,,,11,measure_location_487,station_sn_2,pipeline_sn_1
point_sn_1202,,,,12,measure_location_1202,station_sn_4,pipeline_sn_1
point_sn_318,,,,12,measure_location_318,station_sn_1,pipeline_sn_1
point_sn_505,,,,12,measure_location_505,station_sn_2,pipeline_sn_1
point_sn_671,,,,8,measure_location_671,station_sn_2,pipeline_sn_1
point_sn_1408,,,,14,measure_location_1408,station_sn_5,pipeline_sn_1
point_sn_97,,,,12,measure_location_97,station_sn_1,pipeline_sn_1
point_sn_187,,,,17,measure_location_187,station_sn_1,pipeline_sn_1
point_sn_445,,,,3,measure_location_445,station_sn_2,pipeline_sn_1
point_sn_1144,,,,5,measure_location_1144,station_sn_4,pipeline_sn_1
point_sn_1419,,,,8,measure_location_1419,station_sn_5,pipeline_sn_1
point_sn_1285,,,,10,measure_location_1285,station_sn_4,pipeline_sn_1
point_sn_1259,,,,1,measure_location_1259,station_sn_4,pipeline_sn_1
point_sn_210,,,,6,measure_location_210,station_sn_1,pipeline_sn_1
point_sn_748,,,,17,measure_location_748,station_sn_3,pipeline_sn_1
point_sn_202,,,,15,measure_location_202,station_sn_1,pipeline_sn_1
point_sn_800,,,,1,measure_location_800,station_sn_3,pipeline_sn_1
point_sn_1157,,,,1,measure_location_1157,station_sn_4,pipeline_sn_1
point_sn_1200,,,,10,measure_location_1200,station_sn_4,pipeline_sn_1
point_sn_729,,,,15,measure_location_729,station_sn_3,pipeline_sn_1
point_sn_231,,,,10,measure_location_231,station_sn_1,pipeline_sn_1
point_sn_657,,,,11,measure_location_657,station_sn_2,pipeline_sn_1
point_sn_1059,,,,5,measure_location_1059,station_sn_4,pipeline_sn_1
point_sn_417,,,,9,measure_location_417,station_sn_2,pipeline_sn_1
point_sn_1233,,,,9,measure_location_1233,station_sn_4,pipeline_sn_1
point_sn_941,,,,6,measure_location_941,station_sn_3,pipeline_sn_1
point_sn_672,,,,9,measure_location_672,station_sn_2,pipeline_sn_1
point_sn_268,,,,13,measure_location_268,station_sn_1,pipeline_sn_1
point_sn_583,,,,5,measure_location_583,station_sn_2,pipeline_sn_1
point_sn_38,,,,4,measure_location_38,station_sn_1,pipeline_sn_1
point_sn_880,,,,13,measure_location_880,station_sn_3,pipeline_sn_1
point_sn_1086,,,,15,measure_location_1086,station_sn_4,pipeline_sn_1
point_sn_1096,,,,8,measure_location_1096,station_sn_4,pipeline_sn_1
point_sn_151,,,,15,measure_location_151,station_sn_1,pipeline_sn_1
point_sn_1376,,,,16,measure_location_1376,station_sn_4,pipeline_sn_1
point_sn_1281,,,,6,measure_location_1281,station_sn_4,pipeline_sn_1
point_sn_823,,,,7,measure_location_823,station_sn_3,pipeline_sn_1
point_sn_69,,,,1,measure_location_69,station_sn_1,pipeline_sn_1
point_sn_1050,,,,13,measure_location_1050,station_sn_4,pipeline_sn_1
point_sn_1242,,,,1,measure_location_1242,station_sn_4,pipeline_sn_1
point_sn_786,,,,4,measure_location_786,station_sn_3,pipeline_sn_1
point_sn_123,,,,4,measure_location_123,station_sn_1,pipeline_sn_1
point_sn_444,,,,2,measure_location_444,station_sn_2,pipeline_sn_1
point_sn_654,,,,8,measure_location_654,station_sn_2,pipeline_sn_1
point_sn_331,,,,8,measure_location_331,station_sn_1,pipeline_sn_1
point_sn_959,,,,7,measure_location_959,station_sn_3,pipeline_sn_1
point_sn_442,,,,17,measure_location_442,station_sn_2,pipeline_sn_1
point_sn_52,,,,1,measure_location_52,station_sn_1,pipeline_sn_1
point_sn_1236,,,,12,measure_location_1236,station_sn_4,pipeline_sn_1
point_sn_731,,,,17,measure_location_731,station_sn_3,pipeline_sn_1
point_sn_1465,,,,3,measure_location_1465,station_sn_5,pipeline_sn_1
point_sn_709,,,,12,measure_location_709,station_sn_3,pipeline_sn_1
point_sn_798,,,,16,measure_location_798,station_sn_3,pipeline_sn_1
point_sn_1499,,,,3,measure_location_1499,station_sn_5,pipeline_sn_1
point_sn_1214,,,,7,measure_location_1214,station_sn_4,pipeline_sn_1
point_sn_652,,,,6,measure_location_652,station_sn_2,pipeline_sn_1
point_sn_726,,,,12,measure_location_726,station_sn_3,pipeline_sn_1
point_sn_1412,,,,1,measure_location_1412,station_sn_5,pipeline_sn_1
point_sn_1359,,,,16,measure_location_1359,station_sn_4,pipeline_sn_1
point_sn_192,,,,5,measure_location_192,station_sn_1,pipeline_sn_1
point_sn_1428,,,,17,measure_location_1428,station_sn_5,pipeline_sn_1
point_sn_1447,,,,2,measure_location_1447,station_sn_5,pipeline_sn_1
point_sn_1043,,,,6,measure_location_1043,station_sn_4,pipeline_sn_1
point_sn_117,,,,15,measure_location_117,station_sn_1,pipeline_sn_1
point_sn_829,,,,13,measure_location_829,station_sn_3,pipeline_sn_1
point_sn_821,,,,5,measure_location_821,station_sn_3,pipeline_sn_1
point_sn_804,,,,5,measure_location_804,station_sn_3,pipeline_sn_1
point_sn_78,,,,10,measure_location_78,station_sn_1,pipeline_sn_1
point_sn_133,,,,14,measure_location_133,station_sn_1,pipeline_sn_1
point_sn_595,,,,17,measure_location_595,station_sn_2,pipeline_sn_1
point_sn_907,,,,6,measure_location_907,station_sn_3,pipeline_sn_1
point_sn_1483,,,,4,measure_location_1483,station_sn_5,pipeline_sn_1
point_sn_806,,,,7,measure_location_806,station_sn_3,pipeline_sn_1
point_sn_153,,,,17,measure_location_153,station_sn_1,pipeline_sn_1
point_sn_605,,,,10,measure_location_605,station_sn_2,pipeline_sn_1
point_sn_653,,,,7,measure_location_653,station_sn_2,pipeline_sn_1
point_sn_589,,,,11,measure_location_589,station_sn_2,pipeline_sn_1
point_sn_705,,,,8,measure_location_705,station_sn_3,pipeline_sn_1
point_sn_91,,,,6,measure_location_91,station_sn_1,pipeline_sn_1
point_sn_927,,,,9,measure_location_927,station_sn_3,pipeline_sn_1
point_sn_848,,,,15,measure_location_848,station_sn_3,pipeline_sn_1
point_sn_1136,,,,14,measure_location_1136,station_sn_4,pipeline_sn_1
point_sn_166,,,,13,measure_location_166,station_sn_1,pipeline_sn_1
point_sn_1384,,,,7,measure_location_1384,station_sn_5,pipeline_sn_1
point_sn_1031,,,,11,measure_location_1031,station_sn_3,pipeline_sn_1
point_sn_766,,,,1,measure_location_766,station_sn_3,pipeline_sn_1
point_sn_6,,,,6,measure_location_6,station_sn_1,pipeline_sn_1
point_sn_1208,,,,1,measure_location_1208,station_sn_4,pipeline_sn_1
point_sn_269,,,,14,measure_location_269,station_sn_1,pipeline_sn_1
point_sn_1460,,,,15,measure_location_1460,station_sn_5,pipeline_sn_1
point_sn_721,,,,7,measure_location_721,station_sn_3,pipeline_sn_1
point_sn_112,,,,10,measure_location_112,station_sn_1,pipeline_sn_1
point_sn_159,,,,6,measure_location_159,station_sn_1,pipeline_sn_1
point_sn_661,,,,15,measure_location_661,station_sn_2,pipeline_sn_1
point_sn_438,,,,13,measure_location_438,station_sn_2,pipeline_sn_1
point_sn_1350,,,,7,measure_location_1350,station_sn_4,pipeline_sn_1
point_sn_1411,,,,17,measure_location_1411,station_sn_5,pipeline_sn_1
point_sn_363,,,,6,measure_location_363,station_sn_2,pipeline_sn_1
point_sn_484,,,,8,measure_location_484,station_sn_2,pipeline_sn_1
point_sn_184,,,,14,measure_location_184,station_sn_1,pipeline_sn_1
point_sn_556,,,,12,measure_location_556,station_sn_2,pipeline_sn_1
point_sn_725,,,,11,measure_location_725,station_sn_3,pipeline_sn_1
point_sn_539,,,,12,measure_location_539,station_sn_2,pipeline_sn_1
point_sn_1295,,,,3,measure_location_1295,station_sn_4,pipeline_sn_1
point_sn_480,,,,4,measure_location_480,station_sn_2,pipeline_sn_1
point_sn_689,,,,9,measure_location_689,station_sn_3,pipeline_sn_1
point_sn_401,,,,10,measure_location_401,station_sn_2,pipeline_sn_1
point_sn_73,,,,5,measure_location_73,station_sn_1,pipeline_sn_1
point_sn_928,,,,10,measure_location_928,station_sn_3,pipeline_sn_1
point_sn_1269,,,,11,measure_location_1269,station_sn_4,pipeline_sn_1
point_sn_964,,,,12,measure_location_964,station_sn_3,pipeline_sn_1
point_sn_816,,,,17,measure_location_816,station_sn_3,pipeline_sn_1
point_sn_909,,,,8,measure_location_909,station_sn_3,pipeline_sn_1
point_sn_77,,,,9,measure_location_77,station_sn_1,pipeline_sn_1
point_sn_980,,,,11,measure_location_980,station_sn_3,pipeline_sn_1
point_sn_908,,,,7,measure_location_908,station_sn_3,pipeline_sn_1
point_sn_224,,,,3,measure_location_224,station_sn_1,pipeline_sn_1
point_sn_1402,,,,8,measure_location_1402,station_sn_5,pipeline_sn_1
point_sn_1046,,,,9,measure_location_1046,station_sn_4,pipeline_sn_1
point_sn_926,,,,8,measure_location_926,station_sn_3,pipeline_sn_1
point_sn_1062,,,,8,measure_location_1062,station_sn_4,pipeline_sn_1
point_sn_1240,,,,16,measure_location_1240,station_sn_4,pipeline_sn_1
point_sn_1275,,,,17,measure_location_1275,station_sn_4,pipeline_sn_1
point_sn_943,,,,8,measure_location_943,station_sn_3,pipeline_sn_1
point_sn_1134,,,,12,measure_location_1134,station_sn_4,pipeline_sn_1
point_sn_1321,,,,12,measure_location_1321,station_sn_4,pipeline_sn_1
point_sn_915,,,,14,measure_location_915,station_sn_3,pipeline_sn_1
point_sn_962,,,,10,measure_location_962,station_sn_3,pipeline_sn_1
point_sn_947,,,,12,measure_location_947,station_sn_3,pipeline_sn_1
point_sn_492,,,,16,measure_location_492,station_sn_2,pipeline_sn_1
point_sn_230,,,,9,measure_location_230,station_sn_1,pipeline_sn_1
point_sn_1011,,,,8,measure_location_1011,station_sn_3,pipeline_sn_1
point_sn_727,,,,13,measure_location_727,station_sn_3,pipeline_sn_1
point_sn_523,,,,13,measure_location_523,station_sn_2,pipeline_sn_1
point_sn_827,,,,11,measure_location_827,station_sn_3,pipeline_sn_1
point_sn_88,,,,3,measure_location_88,station_sn_1,pipeline_sn_1
point_sn_1481,,,,2,measure_location_1481,station_sn_5,pipeline_sn_1
point_sn_236,,,,15,measure_location_236,station_sn_1,pipeline_sn_1
point_sn_917,,,,16,measure_location_917,station_sn_3,pipeline_sn_1
point_sn_1457,,,,12,measure_location_1457,station_sn_5,pipeline_sn_1
point_sn_1130,,,,8,measure_location_1130,station_sn_4,pipeline_sn_1
point_sn_790,,,,8,measure_location_790,station_sn_3,pipeline_sn_1
point_sn_466,,,,7,measure_location_466,station_sn_2,pipeline_sn_1
point_sn_453,,,,11,measure_location_453,station_sn_2,pipeline_sn_1
point_sn_1022,,,,2,measure_location_1022,station_sn_3,pipeline_sn_1
point_sn_156,,,,3,measure_location_156,station_sn_1,pipeline_sn_1
point_sn_664,,,,1,measure_location_664,station_sn_2,pipeline_sn_1
point_sn_685,,,,5,measure_location_685,station_sn_2,pipeline_sn_1
point_sn_248,,,,10,measure_location_248,station_sn_1,pipeline_sn_1
point_sn_565,,,,4,measure_location_565,station_sn_2,pipeline_sn_1
point_sn_384,,,,10,measure_location_384,station_sn_2,pipeline_sn_1
point_sn_1249,,,,8,measure_location_1249,station_sn_4,pipeline_sn_1
point_sn_490,,,,14,measure_location_490,station_sn_2,pipeline_sn_1
point_sn_1302,,,,10,measure_location_1302,station_sn_4,pipeline_sn_1
point_sn_580,,,,2,measure_location_580,station_sn_2,pipeline_sn_1
point_sn_1191,,,,1,measure_location_1191,station_sn_4,pipeline_sn_1
point_sn_1238,,,,14,measure_location_1238,station_sn_4,pipeline_sn_1
point_sn_376,,,,2,measure_location_376,station_sn_2,pipeline_sn_1
point_sn_1091,,,,3,measure_location_1091,station_sn_4,pipeline_sn_1
point_sn_1429,,,,1,measure_location_1429,station_sn_5,pipeline_sn_1
point_sn_1034,,,,14,measure_location_1034,station_sn_4,pipeline_sn_1
point_sn_436,,,,11,measure_location_436,station_sn_2,pipeline_sn_1
point_sn_597,,,,2,measure_location_597,station_sn_2,pipeline_sn_1
point_sn_649,,,,3,measure_location_649,station_sn_2,pipeline_sn_1
point_sn_681,,,,1,measure_location_681,station_sn_2,pipeline_sn_1
point_sn_422,,,,14,measure_location_422,station_sn_2,pipeline_sn_1
point_sn_1401,,,,7,measure_location_1401,station_sn_5,pipeline_sn_1
point_sn_787,,,,5,measure_location_787,station_sn_3,pipeline_sn_1
point_sn_698,,,,1,measure_location_698,station_sn_3,pipeline_sn_1
point_sn_832,,,,16,measure_location_832,station_sn_3,pipeline_sn_1
point_sn_841,,,,8,measure_location_841,station_sn_3,pipeline_sn_1
point_sn_460,,,,1,measure_location_460,station_sn_2,pipeline_sn_1
point_sn_1270,,,,12,measure_location_1270,station_sn_4,pipeline_sn_1
point_sn_981,,,,12,measure_location_981,station_sn_3,pipeline_sn_1
point_sn_1143,,,,4,measure_location_1143,station_sn_4,pipeline_sn_1
point_sn_965,,,,13,measure_location_965,station_sn_3,pipeline_sn_1
point_sn_1488,,,,9,measure_location_1488,station_sn_5,pipeline_sn_1
point_sn_46,,,,12,measure_location_46,station_sn_1,pipeline_sn_1
point_sn_897,,,,13,measure_location_897,station_sn_3,pipeline_sn_1
point_sn_433,,,,8,measure_location_433,station_sn_2,pipeline_sn_1
point_sn_267,,,,12,measure_location_267,station_sn_1,pipeline_sn_1
point_sn_1148,,,,9,measure_location_1148,station_sn_4,pipeline_sn_1
point_sn_311,,,,5,measure_location_311,station_sn_1,pipeline_sn_1
point_sn_1324,,,,15,measure_location_1324,station_sn_4,pipeline_sn_1
point_sn_446,,,,4,measure_location_446,station_sn_2,pipeline_sn_1
point_sn_1494,,,,15,measure_location_1494,station_sn_5,pipeline_sn_1
point_sn_799,,,,17,measure_location_799,station_sn_3,pipeline_sn_1
point_sn_1113,,,,8,measure_location_1113,station_sn_4,pipeline_sn_1
point_sn_456,,,,14,measure_location_456,station_sn_2,pipeline_sn_1
point_sn_409,,,,1,measure_location_409,station_sn_2,pipeline_sn_1
point_sn_638,,,,9,measure_location_638,station_sn_2,pipeline_sn_1
point_sn_1436,,,,8,measure_location_1436,station_sn_5,pipeline_sn_1
point_sn_1455,,,,10,measure_location_1455,station_sn_5,pipeline_sn_1
